Elo Rank,Player,Age,Elo,Unnamed: 4,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Unnamed: 11,Peak Elo,Peak Month,Unnamed: 14,WTA Rank,Log diff,NormName
125,Alycia Parks,24.4,1653.0,,87,1671.5,202,1499.9,108,1556.6,,1824.7,2023-01,,47,0.98,Parks A.
126,Alina Korneeva,17.9,1653.0,,105,1650.8,242,1441.7,157,1501.5,,1802.5,2024-10,,284,-0.81,Korneeva A.
127,Claire Liu,24.9,1652.7,,112,1640.4,130,1590.0,137,1519.3,,1814.6,2022-05,,431,-1.22,Liu C.
128,Solana Sierra,20.9,1652.7,,156,1577.1,107,1612.5,201,1463.1,,1697.2,2024-12,,100,0.25,Sierra S.
129,Emiliana Arango,24.5,1647.6,,107,1647.1,138,1574.1,175,1483.4,,1698.2,2025-02,,81,0.47,Arango E.
130,Lulu Sun,24.1,1647.1,,121,1622.7,182,1525.5,78,1605.3,,1831.6,2024-08,,44,1.08,Sun L.
131,Leolia Jeanjean,29.8,1646.5,,129,1611.3,114,1606.1,173,1483.6,,1684.9,2022-09,,94,0.33,Jeanjean L.
132,Sara Errani,38.0,1642.6,,155,1577.9,109,1611.4,148,1507.3,,2085.5,2013-05,,243,-0.61,Errani S.
133,Anna Karolina Schmiedlova,30.4,1642.6,,162,1571.1,92,1650.2,221,1450.9,,1942.1,2015-09,,265,-0.69,Schmiedlova A.
134,Heather Watson,33.0,1641.8,,130,1610.1,216,1476.1,92,1585.4,,1912.2,2014-06,,147,-0.09,Watson H.
135,Linda Fruhvirtova,20.0,1641.1,,136,1603.3,191,1510.1,104,1569.6,,1764.1,2023-03,,150,-0.11,Fruhvirtova L.
136,Xiyu Wang,24.1,1641.0,,119,1625.2,115,1605.6,133,1525.9,,1803.0,2024-02,,163,-0.18,Wang X.
137,Nuria Parrizas Diaz,33.9,1640.7,,138,1599.1,113,1607.2,198,1463.5,,1765.0,2022-02,,85,0.48,Diaz N.
138,Ena Shibahara,27.3,1640.3,,125,1614.7,158,1551.5,151,1504.2,,1713.2,2024-11,,123,0.12,Shibahara E.
139,Maria Lourdes Carle,25.3,1639.9,,153,1578.5,119,1602.1,208,1460.9,,1768.7,2024-05,,122,0.13,Carle M.
140,Elsa Jacquemot,22.1,1638.7,,151,1583.7,141,1568.5,132,1526.0,,1652.8,2024-01,,113,0.21,Jacquemot E.
141,Julia Grabher,28.9,1637.7,,213,1495.9,103,1619.4,247,1431.3,,1691.9,2022-09,,142,-0.01,Grabher J.
142,Jil Teichmann,27.8,1635.4,,128,1612.0,129,1591.0,225,1445.1,,1922.9,2022-05,,92,0.43,Teichmann J.
143,Mananchaya Sawangkaew,22.8,1633.7,,127,1612.9,186,1519.6,130,1527.5,,1775.4,2025-02,,103,0.33,Sawangkaew M.
144,Rebecca Marino,34.4,1632.8,,140,1593.6,204,1496.9,87,1593.4,,1833.6,2010-11,,99,0.37,Marino R.
