Surface,dElo_w,dyElo_w,mean_dElo,mean_dyElo,scale_dElo,scale_dyElo
Grass,0.7944773206374772,0.20552267936252278,0.0,0.0,230.76194331552733,269.9422791725681
Clay,0.925673865516311,0.074326134483689,0.0,0.0,232.69208147134617,274.03690064724765
Hard,0.688891965247173,0.31110803475282706,0.0,0.0,225.87848919569274,264.2179790161885
